Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
March,2024,Crime against Women,Dowry Death,7,3,crime_20_page_11_table_01.csv | crime_21_page_11_table_01.csv | crime_8_page_11_table_01.csv
March,2024,MMDR & KMMCR,KMMC Rules,3,3,crime_20_page_17_table_01.csv | crime_21_page_17_table_01.csv | crime_8_page_17_table_01.csv
March,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1060,3,crime_20_page_18_table_01.csv | crime_21_page_18_table_01.csv | crime_8_page_18_table_01.csv
March,2024,Murder,Murder for gain,2,3,crime_20_page_03_table_01.csv | crime_21_page_03_table_01.csv | crime_8_page_03_table_01.csv
March,2024,NDPS Cases,NDPS Cases,370,3,crime_20_page_19_table_01.csv | crime_21_page_19_table_01.csv | crime_8_page_19_table_01.csv
March,2025,Burglary,Burglary Day,81,3,crime_3_page_06_table_01.csv | crime_8_page_06_table_01.csv | crime_9_page_06_table_01.csv
March,2025,MMDR & KMMCR,KMMC Rules,1,3,crime_3_page_17_table_01.csv | crime_8_page_17_table_01.csv | crime_9_page_17_table_01.csv
March,2025,NDPS Cases,NDPS Cases,433,3,crime_3_page_19_table_01.csv | crime_8_page_19_table_01.csv | crime_9_page_19_table_01.csv
May,2023,MMDR & KMMCR,KMMC Rules,0,3,crime_22_page_17_table_01.csv | crime_35_page_17_table_01.csv | crime_36_page_17_table_01.csv
May,2023,NDPS Cases,NDPS Cases,442,3,crime_22_page_19_table_01.csv | crime_35_page_19_table_01.csv | crime_36_page_19_table_01.csv
May,2024,MMDR & KMMCR,KMMC Rules,4,3,crime_10_page_17_table_01.csv | crime_22_page_17_table_01.csv | crime_23_page_17_table_01.csv
May,2024,Murder,Murder for gain,5,3,crime_10_page_03_table_01.csv | crime_22_page_03_table_01.csv | crime_23_page_03_table_01.csv
May,2024,NDPS Cases,NDPS Cases,243,3,crime_10_page_19_table_01.csv | crime_22_page_19_table_01.csv | crime_23_page_19_table_01.csv
May,2024,Robbery,Chain Snatching,58,3,crime_10_page_05_table_01.csv | crime_22_page_05_table_01.csv | crime_23_page_05_table_01.csv
May,2025,MMDR & KMMCR,KMMC Rules,1,3,crime_10_page_17_table_01.csv | crime_11_page_17_table_01.csv | crime_5_page_17_table_01.csv
May,2025,Murder,Murder for gain,4,3,crime_10_page_03_table_01.csv | crime_11_page_03_table_01.csv | crime_5_page_03_table_01.csv
May,2025,NDPS Cases,NDPS Cases,374,3,crime_10_page_19_table_01.csv | crime_11_page_19_table_01.csv | crime_5_page_19_table_01.csv
November,2023,Dacoity,Dacoity Cases,14,3,crime_28_page_04_table_01.csv | crime_29_page_04_table_01.csv | crime_41_page_04_table_01.csv
November,2023,Economic Offences,Economic Offences,608,3,crime_28_page_16_table_01.csv | crime_29_page_16_table_01.csv | crime_41_page_16_table_01.csv
